num_replicates,ci_width_delta
769,0.007575757575757611
770,0.011363636363636284
771,0.007575757575757597
772,0.011363636363636312
773,0.007575757575757583
774,0.007575757575757555
775,0.011363636363636326
776,0.011363636363636312
777,0.007575757575757583
778,0.011363636363636312
779,0.007575757575757611
780,0.007575757575757583
781,0.007575757575757583
782,0.007575757575757583
783,0.007575757575757597
784,0.011363636363636298
785,0.007575757575757611
786,0.011363636363636312
787,0.007575757575757597
788,0.007575757575757597
789,0.01136363636363634
790,0.011363636363636312
791,0.0075757575757576245
792,0.007575757575757611
793,0.007575757575757638
794,0.007575757575757666
795,0.007575757575757611
796,0.007575757575757611
797,0.011363636363636298
798,0.007575757575757611
799,0.011363636363636312
800,0.007575757575757611
801,0.007575757575757583
802,0.007575757575757583
803,0.007575757575757569
804,0.01136363636363634
805,0.007575757575757569
806,0.007575757575757569
807,0.011363636363636298
808,0.007575757575757583
809,0.007575757575757597
810,0.007575757575757583
811,0.007575757575757583
812,0.007575757575757555
813,0.011363636363636312
814,0.007575757575757638
815,0.011363636363636312
816,0.007575757575757583
817,0.007575757575757597
818,0.007575757575757597
819,0.007575757575757569
820,0.007575757575757583
821,0.011363636363636298
822,0.007575757575757597
823,0.0075757575757576245
824,0.007575757575757597
825,0.007575757575757569
826,0.007575757575757555
827,0.011363636363636326
828,0.007575757575757611
829,0.007575757575757583
830,0.007575757575757597
831,0.0075757575757576245
832,0.007575757575757583
833,0.007575757575757597
834,0.007575757575757583
835,0.007575757575757583
836,0.007575757575757569
837,0.007575757575757583
838,0.007575757575757583
839,0.007575757575757611
840,0.007575757575757583
841,0.007575757575757597
842,0.007575757575757611
843,0.007575757575757569
844,0.007575757575757583
845,0.007575757575757583
846,0.007575757575757611
847,0.007575757575757597
848,0.007575757575757583
849,0.007575757575757597
850,0.0075757575757576245
851,0.007575757575757569
852,0.007575757575757583
853,0.007575757575757583
854,0.007575757575757611
855,0.007575757575757597
856,0.007575757575757583
857,0.0075757575757576245
858,0.007575757575757611
859,0.0075757575757576245
860,0.007575757575757583
861,0.007575757575757597
862,0.007575757575757583
863,0.007575757575757597
864,0.007575757575757597
865,0.007575757575757597
866,0.007575757575757583
867,0.007575757575757569
868,0.007575757575757597
869,0.007575757575757597
870,0.007575757575757569
871,0.007575757575757597
872,0.007575757575757555
873,0.007575757575757569
874,0.007575757575757597
875,0.007575757575757597
876,0.007575757575757555
877,0.007575757575757583
878,0.007575757575757597
879,0.011363636363636298
880,0.007575757575757583
881,0.007575757575757597
882,0.011363636363636298
883,0.007575757575757583
884,0.007575757575757555
885,0.007575757575757569
886,0.007575757575757569
887,0.007575757575757555
888,0.007575757575757583
889,0.007575757575757555
890,0.007575757575757611
891,0.007575757575757611
892,0.007575757575757569
893,0.007575757575757597
894,0.007575757575757583
895,0.007575757575757597
896,0.007575757575757611
897,0.007575757575757583
898,0.007575757575757569
899,0.007575757575757569
900,0.007575757575757597
901,0.007575757575757611
902,0.007575757575757597
903,0.011363636363636326
904,0.007575757575757583
905,0.007575757575757583
906,0.007575757575757597
907,0.007575757575757569
908,0.007575757575757597
909,0.007575757575757569
910,0.007575757575757569
911,0.007575757575757611
912,0.007575757575757583
913,0.007575757575757597
914,0.007575757575757569
915,0.011363636363636284
916,0.007575757575757569
917,0.0075757575757576245
918,0.007575757575757569
919,0.007575757575757541
920,0.007575757575757583
921,0.007575757575757597
922,0.01136363636363627
923,0.007575757575757597
924,0.007575757575757597
925,0.007575757575757569
926,0.011363636363636284
927,0.007575757575757583
928,0.007575757575757611
929,0.011363636363636312
930,0.011363636363636312
931,0.007575757575757611
932,0.007575757575757638
933,0.007575757575757583
934,0.011363636363636284
935,0.007575757575757541
936,0.007575757575757583
937,0.011363636363636326
938,0.007575757575757569
939,0.01136363636363634
940,0.007575757575757583
941,0.007575757575757597
942,0.007575757575757583
943,0.007575757575757569
944,0.007575757575757583
945,0.007575757575757583
946,0.007575757575757611
947,0.007575757575757597
948,0.007575757575757583
949,0.007575757575757555
950,0.007575757575757597
951,0.011363636363636312
952,0.007575757575757611
953,0.0075757575757576245
954,0.011363636363636298
955,0.007575757575757611
956,0.007575757575757597
957,0.007575757575757597
958,0.007575757575757569
959,0.011363636363636284
960,0.011363636363636298
961,0.007575757575757583
962,0.007575757575757583
963,0.007575757575757652
964,0.011363636363636284
965,0.007575757575757597
966,0.007575757575757611
967,0.007575757575757569
968,0.007575757575757569
969,0.007575757575757569
970,0.007575757575757583
971,0.007575757575757569
972,0.007575757575757597
973,0.011363636363636326
974,0.011363636363636326
975,0.011363636363636326
976,0.0075757575757576245
977,0.007575757575757583
978,0.007575757575757569
979,0.007575757575757611
980,0.007575757575757597
981,0.007575757575757541
982,0.007575757575757569
983,0.007575757575757597
984,0.007575757575757583
985,0.007575757575757569
986,0.007575757575757611
987,0.01136363636363627
988,0.007575757575757597
989,0.007575757575757569
990,0.007575757575757583
991,0.011363636363636256
992,0.007575757575757569
993,0.007575757575757569
994,0.011363636363636298
995,0.007575757575757569
996,0.007575757575757569
997,0.0075757575757576245
998,0.007575757575757583
999,0.007575757575757569
1000,0.007575757575757597
1001,0.007575757575757597
1002,0.007575757575757569
1003,0.007575757575757555
1004,0.007575757575757597
1005,0.007575757575757638
1006,0.007575757575757541
1007,0.007575757575757555
1008,0.007575757575757611
1009,0.007575757575757597
1010,0.007575757575757583
1011,0.007575757575757569
1012,0.007575757575757597
1013,0.007575757575757569
1014,0.007575757575757569
1015,0.007575757575757555
1016,0.011363636363636298
1017,0.007575757575757597
1018,0.007575757575757583
1019,0.007575757575757611
1020,0.007575757575757555
1021,0.007575757575757583
1022,0.007575757575757583
1023,0.007575757575757583
1024,0.007575757575757555
1025,0.007575757575757597
1026,0.007575757575757583
1027,0.007575757575757611
1028,0.007575757575757569
1029,0.007575757575757611
1030,0.007575757575757611
1031,0.01136363636363627
1032,0.011363636363636284
1033,0.007575757575757569
1034,0.007575757575757569
1035,0.007575757575757583
1036,0.007575757575757555
1037,0.007575757575757583
1038,0.007575757575757569
1039,0.007575757575757541
1040,0.007575757575757569
1041,0.007575757575757583
1042,0.007575757575757597
1043,0.011363636363636298
1044,0.007575757575757611
1045,0.007575757575757638
1046,0.007575757575757583
1047,0.007575757575757569
1048,0.007575757575757652
1049,0.007575757575757583
1050,0.007575757575757555
1051,0.007575757575757583
1052,0.01136363636363634
1053,0.007575757575757569
1054,0.007575757575757569
1055,0.007575757575757569
1056,0.007575757575757611
1057,0.007575757575757597
1058,0.007575757575757583
1059,0.007575757575757555
1060,0.007575757575757597
1061,0.011363636363636312
1062,0.007575757575757555
1063,0.007575757575757611
1064,0.007575757575757583
1065,0.007575757575757555
1066,0.007575757575757569
1067,0.007575757575757555
1068,0.007575757575757583
1069,0.007575757575757583
1070,0.007575757575757583
1071,0.007575757575757555
1072,0.007575757575757583
1073,0.007575757575757583
1074,0.007575757575757583
1075,0.007575757575757583
1076,0.007575757575757583
1077,0.007575757575757569
1078,0.007575757575757583
1079,0.007575757575757569
1080,0.007575757575757569
1081,0.007575757575757527
1082,0.0075757575757576245
1083,0.007575757575757569
1084,0.007575757575757583
1085,0.007575757575757555
1086,0.007575757575757569
1087,0.007575757575757597
1088,0.007575757575757569
1089,0.007575757575757569
1090,0.007575757575757597
1091,0.007575757575757569
1092,0.007575757575757569
1093,0.007575757575757541
1094,0.007575757575757583
1095,0.007575757575757583
1096,0.007575757575757555
1097,0.007575757575757597
1098,0.007575757575757569
1099,0.007575757575757541
1100,0.007575757575757555
1101,0.007575757575757555
1102,0.007575757575757569
1103,0.007575757575757569
1104,0.007575757575757541
1105,0.007575757575757555
1106,0.007575757575757569
1107,0.007575757575757597
1108,0.007575757575757583
1109,0.007575757575757583
1110,0.007575757575757611
1111,0.007575757575757583
1112,0.007575757575757597
1113,0.007575757575757555
1114,0.007575757575757527
1115,0.007575757575757597
1116,0.007575757575757569
1117,0.011363636363636312
1118,0.007575757575757555
1119,0.007575757575757555
